Date,Rocket Name,Price,Payload to LEO,Payload to GTO,Location,Outcome
1993-08-04T00:52:00Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-08-09T10:02:00Z,SM-65E Atlas,N/A,N/A,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1993-08-10T14:53:45Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-08-10T22:23:45Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-08-24T10:45:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-08-30T12:38:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-08-31T04:40:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-09-03T11:17:02Z,Atlas I,N/A,5.90,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-09-07T13:25:00Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-09-12T11:45:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-09-16T07:36:19Z,Zenit-2,N/A,13.74,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-09-17T00:43:10Z,Tsiklon-2,"$12,000,000",2.82,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-09-20T05:12:00Z,PSLV,"$21,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Failure
1993-09-26T01:45:00Z,Ariane 40,N/A,4.60,2.29,"Guiana Space Centre, French Guiana",Launch Successful
1993-09-30T17:05:59Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-10-05T17:56:00Z,Titan II SLV,N/A,3.60,N/A,"Vandenberg SFB, CA, USA",Launch Failure
1993-10-08T08:00:00Z,Long March 2C,N/A,3.85,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
1993-10-11T21:33:19Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-10-18T14:53:10Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-10-22T06:46:00Z,Ariane 44LP,N/A,8.00,4.17,"Guiana Space Centre, French Guiana",Launch Successful
1993-10-26T13:00:04Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-10-26T17:04:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-10-28T15:17:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-11-02T12:10:09Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-11-05T08:25:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-11-18T13:54:59Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-11-20T01:17:00Z,Ariane 44LP,N/A,8.00,4.17,"Guiana Space Centre, French Guiana",Launch Successful
1993-11-28T23:40:02Z,Atlas II,N/A,6.58,2.81,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-12-02T09:27:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-12-08T00:48:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-12-16T00:40:02Z,Atlas IIAS,N/A,6.58,2.81,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-12-18T01:27:00Z,Ariane 44L,N/A,10.20,4.95,"Guiana Space Centre, French Guiana",Launch Successful
1993-12-22T20:37:16Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1994-01-08T10:05:34Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-01-20T09:49:00Z,Proton-K/DM-2M,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-01-24T21:37:00Z,Ariane 44LP,N/A,8.00,4.17,"Guiana Space Centre, French Guiana",Launch Failure
1994-01-25T00:25:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1994-01-25T16:34:00Z,Titan II SLV,N/A,3.60,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1994-01-28T02:12:10Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-02-03T12:10:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1994-02-03T22:20:00Z,H-II,N/A,10.06,3.93,"Tanegashima Space Center, Japan",Launch Successful
1994-02-05T08:46:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-02-07T21:47:01Z,Titan 401A Centaur,N/A,21.68,9.00,"Cape Canaveral SFS, FL, USA",Launch Successful
1994-02-08T08:33:53Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
1994-02-12T08:54:13Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1994-02-18T07:56:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-02-19T23:45:00Z,Delta II 7925-8,N/A,N/A,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
1994-03-02T03:25:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1994-03-04T13:53:01Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1994-03-10T03:40:01Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1994-03-13T22:32:00Z,Minotaur C,N/A,N/A,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1994-03-17T16:30:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1994-03-22T04:54:12Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-04-09T11:05:01Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1994-04-11T07:49:22Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-04-13T06:04:02Z,Atlas I,N/A,5.90,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
1994-04-23T08:01:59Z,Zenit-2,N/A,13.74,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-04-26T02:14:15Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1994-04-28T17:14:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-05-03T15:55:01Z,Titan 401A Centaur,N/A,21.68,9.00,"Cape Canaveral SFS, FL, USA",Launch Successful
1994-05-04T00:00:00Z,ASLV,N/A,0.15,N/A,"Satish Dhawan Space Centre, India",Launch Successful
1994-05-09T02:47:00Z,Scout G-1,"$8,660,000",0.21,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1994-05-19T17:03:00Z,Pegasus HAPS,N/A,0.25,N/A,Air launch to orbit,Launch Successful
1994-05-20T02:01:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-05-22T04:30:04Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1994-05-25T10:15:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Failure
